Model : distilbert-base-uncased - Learning Type: sst2/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: distilbert-base-uncased
model_task: sst2
model_type: llm
num_classes: 2
batch_size: 64
learning_rate: 1e-05
optimizer_type: adamw
epochs: 1
recovery_epochs: 0
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 1
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 1052
val_batches: 13
current_model_path: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_sst2_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/1]: Avg Total Loss: 5.9456 | Avg PrC Loss: 2.6229 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1589 | Avg CE Loss: 0.1638 | Model Sparsity: 0.95
