Model : vgg11 - Learning Type: mnist/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/mnist/vgg11_mnist_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/mnist/vgg11_mnist_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.0831 | Avg Accuracy: 99.69 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.0181 | Avg Accuracy: 99.57 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.0171 | Avg Accuracy: 99.57 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.0143 | Avg Accuracy: 99.52 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.0143 | Avg Accuracy: 99.59 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.0111 | Avg Accuracy: 99.49 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.0122 | Avg Accuracy: 99.51 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.0133 | Avg Accuracy: 99.49 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.0090 | Avg Accuracy: 99.66 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.0096 | Avg Accuracy: 99.56 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.0078 | Avg Accuracy: 99.70 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.0084 | Avg Accuracy: 99.69 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.0096 | Avg Accuracy: 99.64 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.0083 | Avg Accuracy: 99.64 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.0080 | Avg Accuracy: 99.61 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.0071 | Avg Accuracy: 99.66 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.0066 | Avg Accuracy: 99.57 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.0054 | Avg Accuracy: 99.60 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.0060 | Avg Accuracy: 99.55 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.0058 | Avg Accuracy: 99.57 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0056 | Avg Accuracy: 99.52 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0051 | Avg Accuracy: 99.57 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0061 | Avg Accuracy: 99.59 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0053 | Avg Accuracy: 99.62 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0042 | Avg Accuracy: 99.61 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0043 | Avg Accuracy: 99.67 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0053 | Avg Accuracy: 99.67 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0037 | Avg Accuracy: 99.59 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0045 | Avg Accuracy: 99.69 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0040 | Avg Accuracy: 99.63 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0034 | Avg Accuracy: 99.61 | Model Sparsity: 0.95
